time,mean_TRMM_3B42
2017-10-07,0.435211092
2017-10-08,10.052352
2017-10-09,50.0553398
2017-10-10,0.235647857
2017-10-11,2.42074919
2017-10-12,3.14606237
2017-10-13,4.75094509
2017-10-14,1.12601018
2017-10-15,1.39462268
2017-10-16,5.95079708
2017-10-17,21.470541
2017-10-18,28.0620232
2017-10-19,27.9949589
2017-10-20,21.1827316
2017-10-21,10.7338629
2017-10-22,49.5356178
2017-10-23,3.21834946
2017-10-24,41.2025604
2017-10-25,6.00238562
2017-10-26,3.97445178
2017-10-27,15.3260546
2017-10-28,9.80648422
2017-10-29,2.62236762
2017-10-30,6.98781967
2017-10-31,13.8650255
2017-11-01,18.7032642
2017-11-02,15.4469824
2017-11-03,20.0334282
2017-11-04,22.923645
2017-11-05,2.233881
2017-11-06,2.84099817
2017-11-07,24.5271587
2017-11-08,41.6456528
2017-11-09,9.67363644
2017-11-10,5.85704041
2017-11-11,5.29685354
2017-11-12,4.45223331
2017-11-13,134.919296
2017-11-14,11.2497578
2017-11-15,6.15622807
2017-11-16,13.1703501
2017-11-17,7.44005108
2017-11-18,3.94847846
2017-11-19,4.55833244
2017-11-20,22.5014248
2017-11-21,10.2563381
2017-11-22,2.52905297
2017-11-23,17.987915
2017-11-24,21.5821533
2017-11-25,3.78238344
2017-11-26,13.0134516
2017-11-27,35.3514175
2017-11-28,2.4369092
2017-11-29,15.2268114
2017-11-30,15.4490213
2017-12-01,48.5629272
2017-12-02,12.4183416
2017-12-03,10.5175791
2017-12-04,2.03099847
2017-12-05,2.90872502
2017-12-06,34.2354889
2017-12-07,39.3393288
2017-12-08,54.5400658
2017-12-09,17.6744938
2017-12-10,22.7980003
2017-12-11,31.0021057
2017-12-12,13.24438
2017-12-13,0.42795521
2017-12-14,0
2017-12-15,0.351837397
2017-12-16,13.6167107
2017-12-17,1.73808789
2017-12-18,0.647920132
2017-12-19,0
2017-12-20,0
2017-12-21,12.8550482
2017-12-22,0.126362175
2017-12-23,13.6528149
